time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
584.9083,5335.8243,-0.028427,-0.911789,0.16954,0.927853
587.8627,5335.853844,-0.061157,-0.949341,0.187134,0.96954
590.8169,5335.883386,-0.076492,-0.937363,0.222687,0.966483
593.7706,5335.912923,-0.111816,-0.953323,0.265167,0.995812
596.7247,5335.942464,-0.044876,-0.973618,0.255234,1.007516
599.6786,5335.972003,0.068176,-1.019714,0.263748,1.055475
602.6331,5336.001548,0.045151,-1.072952,0.39119,1.142932
605.5871,5336.031088,0.24968,-1.027451,0.408585,1.13355
608.5416,5336.060633,0.371872,-0.98291,0.5466,1.184556
611.4961,5336.090178,0.241592,-0.9617,0.388565,1.064996
614.4506,5336.119723,0.159088,-0.969818,0.364975,1.048362
617.4052,5336.149269,-0.126572,-0.914856,0.133041,0.933103
620.3594,5336.178811,-0.383698,-0.902023,0.043655,0.981211
623.3139,5336.208356,-0.418213,-0.897415,0.018524,0.990252
626.2683,5336.2379,-0.33284,-0.797821,0.13269,0.87459
629.2228,5336.267445,-0.055298,-1.132431,0.185013,1.148777
632.1771,5336.296988,0.268753,-0.940994,-0.26358,1.013495
635.1315,5336.326532,-0.256622,-1.29718,0.406372,1.383355
638.0856,5336.356073,-0.347946,-1.610611,-0.529785,1.73084
641.0399,5336.385616,0.177811,-0.802139,0.443634,0.933732
643.9882,5336.415099,0.084137,-0.775513,0.34436,0.852692
646.9423,5336.44464,0.092834,-0.760345,0.199188,0.791467
649.8969,5336.474186,0.047791,-0.814636,0.085739,0.820529
652.8515,5336.503732,-0.050217,-0.826889,0.033615,0.829094
655.8058,5336.533275,-0.131012,-0.866943,-0.023834,0.877111
658.7601,5336.562818,-0.188263,-0.887619,-0.078522,0.910756
661.7147,5336.592364,-0.205505,-0.918579,-0.103241,0.946931
664.6694,5336.621911,-0.231445,-0.99762,-0.157593,1.03617
667.6237,5336.651454,-0.208557,-0.946533,-0.185867,0.986898
670.5783,5336.681,-0.266846,-0.972168,-0.211929,1.030161
673.5318,5336.710535,-0.258423,-1.006073,-0.195328,1.056938
676.4877,5336.740094,-0.262787,-1.008759,-0.151764,1.053415
679.4422,5336.769639,-0.279556,-1.044662,-0.110489,1.087051
682.3968,5336.799185,-0.33606,-1.003693,-0.145355,1.068393
685.3512,5336.828729,-0.461716,-0.963745,-0.221649,1.091382
688.3054,5336.858271,-0.745804,-0.962799,-0.276672,1.248901
691.2609,5336.887826,-0.75795,-1.05925,-0.31456,1.339943
694.2154,5336.917371,-0.390671,-1.041702,-0.268982,1.144604
697.1701,5336.946918,-0.17897,-0.984558,-0.198792,1.020247
700.1247,5336.976464,-0.332016,-0.864517,-0.055603,0.927748
703.0788,5337.006005,-0.431,-0.824615,0.024796,0.930788
706.0324,5337.035541,-0.353683,-0.870895,0.074661,0.942934
708.9871,5337.065088,0.015472,-0.890289,0.124359,0.899066
711.9414,5337.094631,0.009979,-0.852341,0.22699,0.882105
714.8958,5337.124175,-0.382324,-0.765701,0.52121,1.002063
717.8499,5337.153716,-0.117691,-0.944305,0.424637,1.042056
720.8041,5337.183258,0.299332,-1.131454,0.073196,1.172666
723.7578,5337.212795,-0.017227,-1.166199,0.300613,1.204444
726.7124,5337.242341,0.076187,-1.052841,0.225845,1.079484
729.6668,5337.271885,0.210266,-1.025482,0.069473,1.04912
732.6211,5337.301428,-0.02623,-0.974075,0.250229,1.006044
735.5754,5337.330971,-0.067169,-1.005661,0.223175,1.032314
738.5298,5337.360515,-0.285767,-0.953445,0.356171,1.057156
741.4821,5337.390038,-0.193985,-1.033554,0.415955,1.130877
744.4383,5337.4196,0.054367,-0.999283,0.262146,1.034525
747.3926,5337.449143,0.219681,-0.936218,0.25293,0.994353
750.3468,5337.478685,0.131409,-0.93187,0.243607,0.972108
753.3008,5337.508225,-0.05751,-0.965363,0.33725,1.024192
756.2551,5337.537768,-0.166443,-0.860443,0.402832,0.964541
759.2088,5337.567305,-0.017334,-0.99501,0.347946,1.054236
762.164,5337.596857,0.064636,-0.934906,0.293701,0.982083
765.1184,5337.626401,-0.012924,-0.957901,0.312943,1.007807
768.0727,5337.655944,0.065186,-0.98735,0.260895,1.023316
771.027,5337.685487,0.144608,-0.981003,0.223679,1.016519
773.981,5337.715027,0.001083,-0.983429,0.245392,1.013583
776.9351,5337.744568,0.017838,-0.960327,0.238205,0.98959
779.8895,5337.774112,0.112778,-0.949387,0.231552,0.983702
782.8434,5337.803651,0.03688,-0.990448,0.28392,1.030999
785.7973,5337.83319,0.008179,-0.977982,0.205902,0.999455
788.7513,5337.86273,-0.023743,-0.9384,0.22554,0.965416
791.7053,5337.89227,0.006683,-0.99118,0.179169,1.007266
794.6594,5337.921811,0.006119,-0.981369,0.173431,0.996595
797.6136,5337.951353,-0.144302,-0.946136,0.152222,0.969107
800.5679,5337.980896,-0.147934,-0.944595,0.156631,0.968854
803.5223,5338.01044,0.049942,-1.024979,0.087143,1.029888
806.4765,5338.039982,0.024048,-1.008896,0.152878,1.020696
809.4305,5338.069522,-0.156448,-0.970932,0.14473,0.994048
812.3845,5338.099062,-0.360733,-0.924942,0.27771,1.030907
815.3386,5338.128603,-0.131912,-0.927078,0.199402,0.957411
818.2924,5338.158141,0.251343,-0.851166,0.095703,0.892645
821.2465,5338.187682,-0.554047,-0.821625,-0.072113,0.993597
824.2004,5338.217221,-0.095215,-1.756699,-0.59346,1.856677
827.1542,5338.246759,-0.256531,-1.833099,0.242294,1.866753
830.1078,5338.276295,0.268356,-1.443405,0.525269,1.559276
833.0614,5338.305831,0.15509,-1.463974,0.392731,1.52365
836.0154,5338.335371,0.236343,-1.345413,0.450378,1.438345
838.9693,5338.36491,0.227036,-1.155457,0.357544,1.230635
841.9232,5338.394449,0.24025,-1.097351,0.245316,1.149817
844.8771,5338.423988,0.253983,-0.753372,0.207977,0.821785
847.8311,5338.453528,0.107849,-0.621826,0.118912,0.642214
850.7854,5338.483071,0.077164,-0.423813,0.130417,0.450089
853.7397,5338.512614,0.055771,-0.336319,0.125916,0.363422
856.694,5338.542157,0.208023,-0.306015,0.22963,0.435487
859.6483,5338.5717,0.476303,-0.423813,0.392792,0.748844
862.6025,5338.601242,0.424057,-0.53244,0.736298,1.002722
865.5567,5338.630784,0.243423,-0.369965,1.08873,1.175356
868.5109,5338.660326,0.542908,-0.826935,0.621048,1.16802
871.4647,5338.689864,0.787231,-0.617432,0.546036,1.139785
874.4188,5338.719405,0.402405,-0.864441,0.505157,1.079061
877.3725,5338.748942,0.487854,-1.053131,0.503723,1.265237
880.3265,5338.778482,0.412476,-0.990677,0.338623,1.125274
883.2809,5338.808026,0.298218,-0.906693,0.455902,1.057767
886.2351,5338.837568,0.522461,-0.953079,0.413025,1.162719
889.1891,5338.867108,0.25145,-0.948456,0.255508,1.013943
892.1437,5338.896654,0.220718,-0.862106,0.267014,0.929107
895.0976,5338.926193,0.19606,-0.945602,0.314011,1.015483
898.0518,5338.955735,0.051941,-0.962677,0.288956,1.006449
901.0059,5338.985276,0.090271,-0.837891,0.361008,0.916808
903.9598,5339.014815,0.089813,-0.950729,0.313797,1.005197
906.9139,5339.044356,-0.01944,-0.950684,0.296371,0.995999
909.868,5339.073897,0.08194,-0.950378,0.252487,0.986754
912.8222,5339.103439,0.043869,-0.901245,0.290115,0.947805
915.7757,5339.132974,-0.011154,-0.969162,0.194275,0.988505
918.7301,5339.162518,0.02121,-0.953796,0.251663,0.986667
921.684,5339.192057,0.021164,-0.943985,0.262634,0.980068
924.6378,5339.221595,0.039703,-0.919434,0.324265,0.975747
927.5914,5339.251131,0.006256,-0.958145,0.331955,1.014039
930.5451,5339.280668,0.028702,-0.900528,0.243408,0.933286
933.4972,5339.310189,-0.065201,-0.928207,0.194824,0.950672
936.4528,5339.339745,-0.009735,-0.980469,0.22551,1.006115
939.4067,5339.369284,0.02774,-0.938477,0.244919,0.970306
942.3608,5339.398825,0.00885,-0.912155,0.312012,0.964083
945.3149,5339.428366,-0.015656,-0.858429,0.239792,0.891429
948.269,5339.457907,-0.027817,-0.881912,0.262924,0.920691
951.2224,5339.487441,0.085205,-0.892868,0.263214,0.934749
954.1768,5339.516985,0.205612,-0.88266,0.27655,0.947547
957.1309,5339.546526,0.450897,-0.932861,0.215866,1.058365
960.0848,5339.576065,0.315872,-0.964462,0.509308,1.135499
